Name,Overview,Duration,Min_req,Branch/Intake,Career Prospects,Fees,,
Diploma in Counselling,"This diploma programme aims at producing graduates for employment in counselling-related fields and covers various aspects of human behaviours, affections and experiences. The programme is designed to provide students with a platform for building skills and knowledge in the field of counselling. Students learn to appreciate and understand different aspects of counselling skills, theoretical perspectives in psychology and basic management. Upon graduation, students should be familiar with counselling-related theories and basic skills as well as fundamental knowledge in psychology. Therefore, students are well prepared for their undergraduate study in counselling or psychology.

Scholarship is available for Malaysian students who want to pursue Diploma programme at TAR UMT.","Duration:
2 years ","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
","Intake:July, November & February ","Para-counsellor
Guided Social Work
Management (eg. Human Resources, General Administration, Personal Assistant)
Sales, Marketing & Services (eg. Customer Service)
Work Related to Psychology at Hospitals, Mental Health Organisations, Business Organisations or Non-Governmental Organisations","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,300 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Culinary Arts,"The culinary sector continues to play an important role in generating income and employment opportunities for the people in Malaysia. As the government continues to provide support by upgrading various infrastructure facilities to attract more tourists to Malaysia, the industry needs to focus on providing cutting edge culinary facilities to complement local organisations in Malaysia, as well as foreign and world-class establishments.

This programme prepares students to develop artistic flair in culinary arts and provides the opportunity for them to practice their cooking skills in our well-equipped kitchen. It is designed to equip students with personal and professional skills crucial to succeed in the hospitality industry. Further to this, the programme also emphasises on teamwork, which is essential in order for them to work in a successful kitchen environment.",Duration:2 years 4 Months,"SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:June & November
Campus:PK - Perak Branch Campus","Kitchen Chefs
Kitchen Executives
Food and Beverage Entrepreneur
Food and Beverage Executives
Catering Managers","Estimated Total Fees: RM18,400 (Malaysian Student)

The estimated total fees may vary by 10%.",,
Diploma in Computer Science (Data Science),"This programme prepares students to work in an exciting career and profession in the area of computer science specialized in data science. It aims to produce graduates with fundamental knowledge in computer science, analytical methods relevant to modern applications which require large-scale data analysis as well as concepts and techniques of data science. Graduates can apply the knowledge and skills learnt to solve Big Data problems in a variety of disciplines. This programme provides a platform that allows students to learn the knowledge of C, Java and Python, assembly language, XHTML, CSS, Java Script and SQL which are the basic skills required by students to develop software or information systems to capture and analyse massive amounts of data across a range of organisations. Students will be trained in various software and information systems development technologies. Introduction to Data Science, Data Mining and Big Data Techniques which emphasize on mathematical approach to the computational analysis of data are also introduced so students are able to draw upon the mathematics of both computation and probability to make use of the large amounts of data that are collected in order to solve major problems in their future workplace.

Elective courses like Mobile Application Development, Web Systems and Technologies, Windows Application Programming, Advanced Java Programming, Electronic Commerce and Fundamentals of Artificial Intelligence will be offered to students undergoing this programme.

Students will also have the opportunity to experience 9 weeks of industrial training in related industry. The aim of the industrial training is to expose students to real-life projects on software development and fundamentals of data science. Such training will add value to their qualification and increase their employment opportunities.","Duration:
2 years ","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit in Additional Mathematics/O Level Grade C in Mathematics-Additional/UEC Grade B in one mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
June

 Campuses:
JH - Johor Branch Campus"," Career Prospects:
Junior Data Scientists
Junior Data Analysts
Junior Programmers
Junior Web Developers
Junior Multimedia Developers
Junior Mobile Application Developers
Junior Software Engineers
Junior Network Engineers
Assistant Systems Analysts
Assistant Database Administrators
Assistant IT Consultants","Estimated Total Fees : RM 18,200 (Malaysian Student)

The estimated total fees may vary by 10%",,
Diploma in E-Marketing,"This programme is designed to provide students with the fundamental knowledge of e-commerce and marketing, and the skills of applying e-commerce technologies to marketing.", Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
June and November (June intake for KL, Penang, Perak and Pahang branch campuses, while November intake only for KL, Perak and Pahang branch campuses)
 Campus:KL Main Campus (R/342/4/0161)(08/23)(AA0065), Penang (R/342/4/0160)(09/23)(AA0144) and Perak (R/342/4/0316)(09/23)(AA0156) and Pahang (N/342/4/0223)(10/24)(MQA/PA 10729) Branch Campuses"," Graduates of Diploma in E-Marketing can seek employment in almost every sector of a e-business such as:

Tourism
Hospitality
Electrical and Electronics
Information Technology
Communications
Media
Banking and Finance
Education
Insurance
Travel
Entertainment
Advertising and Promotion
Market Research
Consumer Services
Retail at the Sub-professional Level & etc","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,600 (International Student)
The estimated total fees may vary by 10%. ",,
Diploma of Electronic Engineering,"Electronic technologies form the foundation of modern society, making possible the devices and systems that we rely upon in our daily life such as mobile communications, computer networks, medical equipment, video and audio systems and industrial control and automation. Electronics is a broad engineering field, giving students enormous flexibility and wide-ranging career options. The Diploma of Electronic Engineering will focus on applying basic concepts and skills to real-world situations and developing broad-based knowledge with a curriculum that includes electronic devices, communications, automation and control, software engineering and embedded systems.",Duration: 2 years 6 months,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Credit/O Level Grade C/UEC Grade B in Physics/Chemistry/or one relevant technical/vocational subject
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Campus:KL Main Campus, Penang Branch Campus
Intake:January, May/June, November (Selected programme)","Graduates will find flexible and wide-ranging of career options in the industries of aerospace, telecommunications, instrumentation & control, computing, consumer and industrial electronics with job scopes that may include product design, development & testing, maintenance, marketing, and sales & services.","Estimated Total Fees: (RM) RM19,300 (Malaysian Student), RM36,800 (International Student).

The estimated total fees may vary by 10%. ",,
Diploma in Entrepreneurship,"This programme provides students with a good understanding of the fundamental knowledge of entrepreneurship, the entrepreneurial process and skills required as entrepreneurs. It will focus on how to plan, start, manage and grow a business.", Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","  Intake:June
Campus:Johor Branch Campus (R/345/4/0355)(05/23)(MQA/FA 1251)",Graduates of Diploma in Entrepreneurship may seek employment in varied types of businesses particularly that of small and medium sized enterprises. Such experiences are beneficial for potential entrepreneurs.,"Estimated Total Fees: RM17,200 (Malaysian Student)

The estimated total fees may vary by 10%. ",,
Diploma in Event Management,"The programme is designed to provide a practical overview of the function, skills and knowledge required to plan, organise, manage, promote and evaluate a festival, convention, trade show or special event. Through lectures, fieldwork, case studies and practical applications, students will gain insights into the management and operations in this dynamic field. Business courses such as accounting, marketing and business communications are added to enhance the students' holistic experience in managing events.",Duration:2 years ,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:June & November
Campus:PK - Perak Branch Campus","Hotels
Resorts
PR and Event Management Companies and Convention Centres
Event Executives, Convention Sales Executives, Marketing Executives and PR Executives in the Meetings, Incentives, Conventions and Exhibitions (MICE) Industry","Estimated Total Fees: RM17,600 (Malaysian Student) 

The estimated total fees may vary by 10%. 
",,
Diploma in Fashion Design,"This programme provides academic and specialized practical knowledge to prepare students for entry-level positions in the fashion design industry. This programme enables graduating fashion designers to perform competitively within the local and international fashion industry, combining creative and intellectual approaches to visual-design innovations with strong theoretical and practical elements. It prepares students for positions in the fashion industry from a realistic industrial point.",Duration:2 Years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:JUNE & NOV 

Campus: Kuala Lumpur Main Campus (R/214/4/0089)(08/23)(AA 0089)"," Career Prospects:
Fashion Designers
Fashion Stylists
Patternmakers
Assistant Designers
Fabrication and Trim Buyers
Merchandisers
Fashion Illustrators
Textiles Artists
Pattern Cutters
Workroom Assistant
Visual Merchandisers","Estimated Total Fees: RM18,200 (Malaysian Students), RM34,200 (International Students)

The estimated total fees may vary by 10%. ",,
Diploma in Finance and Investment,This programme focuses on the operations and management of financial institutions and intermediaries in particular their response to global business trends and contemporary issues that impact the financial services industry., Duration:2 years,"SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit/O Level Grade C in Mathematics/UEC Grade B in one mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language
"," Intake:
June and November 
 Campus:KL Main Campus (R/343/4/0279)(08/23)(AA0066), Penang (R/343/4/0280)(09/23)(AA0145) Branch Campus","Graduates of Diploma in Finance and Investment can secure employment in financial institutions and intermediaries in the following areas:

Fund Management
Wealth Management
Treasury Management
Financial Analysis
Foreign Exchange and Derivatives at the Sub-professional Level & etc","Estimated Total Fees: RM17,400 (Malaysian Student), RM33,300 (International Student)The estimated total fees may vary by 10%. ",,
Diploma in Food Science,"Food Science programme integrates and applies knowledge within disciplines such as chemistry, microbiology, engineering and nutrition to preserve, process, package, and distribute food products and design new processes to improve the safety and quality of foods. Food scientists develop new foods, add value to raw food commodities and improve the quality and safety of existing food products.
This programme provides students with the scientific knowledge and skills of the food chain and forms a link for those who wish to embark on a career in the dynamic food and nutrition industries. The programme covers basic principles in the basic sciences in relation to the study of food science as well as the application of basic science such as food chemistry, food microbiology, food technology and nutrition. The nutrition subjects provide knowledge and skills to understand diseases of dietary origin.

This programme also offers hands-on practices and prepares graduates with fundamental laboratory skills and techniques in food science, including those related to safety practices and standards, leading to the professionalism in the area of food science. Students will also be taught the basics of business and marketing. The better understanding of entrepreneurial skills can help graduates to take up challenges in the competitive food business."," Duration:
2 years","SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification
Compulsory subjects: (i)SPM Credit/O Level Grade C in Mathematics/UEC Grade B in Advanced Mathematics (I or II)
(ii) SPM Credit/O Level Grade C/ UEC Grade B in Chemistry
(iii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
February, June & November
Campus:
KL Main Campus (R/541/4/0021) (06/24) (MQA/FA 1070)"," Career Prospects:
Assistant Food Technologists
Assistant Food Chemists
Quality Control/Assurance Executives
Food Product Development Executives
Food Product Executives
Nutrition Executives
Assistant Food Microbiologists
Food Services Executives
Industrial/Retail Buyers
Marketing and Sales Executives","Estimated Total Fees: RM18,300 (Malaysian Student), RM34,600 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Graphic Design,"This programme works as a key entry into the world of graphic design where it engages students with creative talent, guiding them to the next level through the training of strong technical skills in conceptual development and design processes. Students will indulge into creative areas such as advertising layout, illustration, typography, photography, commercial design, infographic, digital imaging with specialised skills in both print and digital media.",Duration:2 Years ,SPM with 3 credits in the relevant subjects/ O Level with 3 Grade C in the relevant subjects / UEC with 3 Grade B in the relevant subjects or equivalent qualification,"Intake:JUNE

Campus:Kuala Lumpur Main Campus (R/213/4/0139)(08/23)(AA 0084)","Career Prospects:
Visualisers
Illustrators
Photographers
Signage Designers
Graphic Designers
In-House Designers
Character Designers
Typography Designers
Web Page Designers
General Merchandisers
Instructional Designers
Event Display Designers
Sale Promotion Designers
Support staff in Mass Media Organisation
Advertising Agencies & Publishing Agencies
Graduates may work in a range of profession related to advertising, publishing, packaging design or printing","Estimated Total Fees: RM 18,500 (Malaysian Students), RM34,900 (International Students)

The estimated total fees may vary by 10%.",,
Diploma in Hotel Management (DHT),"The hospitality industry is diverse in nature and provides abundant job opportunities worldwide. Being one of the most competitive hospitality management courses/programmes in Malaysia, this programme is designed with an objective to adapt students with the ability to cope in the dynamic hospitality environment. Students will not only acquire practical skills in food and beverage operations and rooms division operations, but also managerial skills during their studies and hence when they graduate, they will be highly employable globally and locally.",Duration:2 years ,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Intake:
KL - July & November
PK - July & November

Campus:KL Main Campus, Perak Branch Campus","Chain Hotels
Thematic Resorts and Spa
Cruise
Recreational Fields Such As Theme Parks, Amusement Parks, Entertainment Field and Event Organisations Located Locally As Well As Internationally","Estimated Total Fees: RM17,600 (Malaysian Student), RM33,300 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in Hotel Management (DHM),"Malaysia's hospitality industry is experiencing a healthy growth in the opening of new hotels and hospitality-related services through a steady flow of business travelers and tourists, maintaining its popularity as a destination of MICE (Meetings, Incentives, Conventions and Exhibitions). As a result, ample of employment opportunities are available in hotels, resorts, restaurants and airlines. Being one of the most competitive hospitality management courses/programmes in Malaysia, this programme is designed to provide students with comprehensive operational and technical skills for successful careers in the hospitality industry. Special emphasis is placed on the hospitality operations, customer skills, communication and cultural diversity. Students will be given learning opportunities that combine theoretical knowledge and practical skills where they exercise their skills and gain relevant and useful knowledge in a hospitality-simulated environment.",Duration:2 years ,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language"," Intake:
June & November
Campus:JH - Johor Branch Campus
(R/811/4/0207) (07/24) (MQA/FA 3772)

SB - Sabah Branch 
(R/811/4/0220) (08/24) (MQA/FA 3781)","Hotels
Resorts
Restaurants
Airlines
Cruise Line
Event Companies","Estimated Total Fees: RM17,600 (Malaysian Student) 

The estimated total fees may vary by 10%. ",,
Diploma in Human Resource Management,The programme is designed to provide students with the fundamental knowledge and skills in human resource management., Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language"," Intake:
June and November (November intake only for KL main campus)
Campus:
KL Main Campus (R/345/4/1100)(08/23)(AA0067), Penang (R/345/4/1099)(09/23)(AA0146) Branch Campus","Graduates of Diploma in Human Resource Management may seek employment at the sub-professional level in the following areas:

Human Resource Administration and Management
Compensation and Benefit
Recruitment
Training Employee Relations
Consultancy and General Management & etc","Estimated Total Fees: RM17,400 (Malaysian Student), RM33,300 (International Student)

The estimated total fees may vary by 10%. ",,
Diploma in International Business,This programme is designed to equip students with the necessary skills and knowledge for a career in administration and management in organizations with cross border transactions. Students are prepared to seek employment in both national and international organisations across different industries at the sub-professional level., Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language"," Intake:
June and November  
Campus:KL Main Campus (R/340/4/0294)(08/23)(AA0068), Penang (R/340/4/0311)(09/23)(AA0147) Branch Campus","Graduates of Diploma in International Business may seek employment with any organisations, local or international in the following areas:

International Business Administration and Management
International Sales and Marketing
International Business Consultancy and International Liaison at the Sub-professional Level & etc","Estimated Total Fees: RM17,200 (Malaysian Student), RM33,000 (International Student)
The estimated total fees may vary by 10%. ",,
Diploma in Information Systems,"This programme majors in business information systems. It aims to produce graduates with fundamental knowledge in information technology and its business related applications. It covers the theoretical and practical aspects of developing information systems, management, costing, accounting, electronic commerce, and mathematics. This programme is supported by case studies and computer laboratory assignments. In addition, students are exposed to part of the SAP curriculum like logistics and enterprise resource planning. Students will acquire practical skills in the C Language, HTML5, JavaScript, VB.NET, Microsoft Expression Web, Oracle Database, accounting software packages and be guided through the process of developing an information system.",Duration:2 years,"SPM with 3 credits in the relevant subjects / O Level with 3 Grade C in the relevant subjects/ UEC with 3 Grade B in the relevant subjects 
Compulsory subjects: (i)SPM Pass/O Level Grade E (Pass) in Mathematics/UEC Grade C in one Mathematics subject
(ii)SPM Pass/O Level Grade E (Pass)/UEC Grade C in English Language","Campuses:KL - Kuala Lumpur Main Campus
(R/482/4/0195)(08/23)(AA0110)
PG - Penang Branch Campus
(R/482/4/0202)(09/23)(AA0140)
PK - Perak Branch Campus
(R/482/4/0201)(09/23)(AA0153)
Intake:June","Career Prospects:
Junior Programmers
Junior Systems Analysts
Junior SAP Support Consultants
Junior IT Support Executives
Junior IT Executives","Estimated Total Fees : RM 17,800 (Malaysian Student), RM33,600 (International Student)

The estimated total fees may vary by 10%",,
